Time,Date ,MAC,Temperature/C,Moisture/''
17:35:04,8/25/2021,B8:27:EB:7E:B4:0C,29.69,690
17:40:04,8/25/2021,B8:27:EB:36:C6:86,29.58,684
18:00:28,8/25/2021,B8:27:EB:69:74:52,29.48,678
18:30:04,8/25/2021,B8:27:EB:69:74:52,29.37,672
18:32:05,8/25/2021,B8:27:EB:55:04:6A,29.26,666
18:35:06,8/25/2021,B8:27:EB:7E:B4:0C,29.16,660
18:40:04,8/25/2021,B8:27:EB:36:C6:86,29.05,654
18:00:05 PM,8/27/2021,B8:27:EB:55:04:6A,42.17,299
18:00:07 AM,8/27/2021,B8:27:EB:7E:B4:0C,39.22,316
18:00:08 AM,8/27/2021,B8:27:EB:69:74:52,40.25,315
21:05:23 PM,8/27/2021,B8:27:EB:55:04:6A,38.63,326
21:07:06 PM,8/27/2021,B8:27:EB:7E:B4:0C,37.67,334
21:08:04 PM,8/27/2021,B8:27:EB:36:C6:86,36.71,342
12:00:03,8/28/2021,B8:27:EB:55:04:6A,47.88,202
12:00:04,8/28/2021,B8:27:EB:69:74:52,47.23,190
12:00:07,8/28/2021,B8:27:EB:7E:B4:0C,45.01,189
15:00:03,8/29/2021,B8:27:EB:55:04:6A,30.19,890
15:00:12,8/29/2021,B8:27:EB:7E:B4:0C,29.89,780
15:00:04,8/29/2021,B8:27:EB:36:C6:86,31.66,776
